Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523006463339,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523006462358,00000104,false,Rx,0,8,04,7F,00,7F,00,22,0F,00,
-1789523006461376,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006457408,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523006456256,00000288,false,Rx,0,8,04,00,25,BA,3D,96,0D,00,
-1789523006455361,00000288,false,Rx,0,7,04,01,19,5E,C3,F2,2E,00,
-1789523006454251,00000288,false,Rx,0,8,04,02,6C,05,2A,2F,0E,00,
-1789523006453355,00000288,false,Rx,0,7,04,03,B1,EB,71,15,2E,00,
-1789523006452502,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006427201,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9D,00,
-1789523006426604,00000006,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006425878,00000280,false,Rx,0,5,10,5C,5D,39,03,00,00,00,
-1789523006363415,00000102,false,Rx,0,8,00,00,64,66,60,63,7C,00,
-1789523006362434,00000104,false,Rx,0,8,04,7F,00,7F,00,23,10,00,
-1789523006361453,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006357442,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523006356503,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006345410,0000030A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006344856,00000312,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006343874,0000030A,false,Rx,0,8,20,02,41,7D,4A,7D,3C,7D,
-1789523006342936,00000310,false,Rx,0,8,20,01,3C,7D,3C,7D,32,7D,
-1789523006341997,00000318,false,Rx,0,8,20,01,41,7D,4A,7D,41,7D,
-1789523006341016,00000318,false,Rx,0,8,20,00,37,7D,41,7D,3C,7D,
-1789523006340077,00000312,false,Rx,0,8,20,02,32,7D,32,7D,41,7D,
-1789523006339138,00000310,false,Rx,0,8,20,00,3C,7D,3C,7D,37,7D,
-1789523006338157,00000308,false,Rx,0,8,20,01,1F,7D,37,7D,4A,7D,
-1789523006337218,00000308,false,Rx,0,8,20,00,45,7D,45,7D,3C,7D,
-1789523006336237,0000031A,false,Rx,0,8,20,02,41,7D,4A,7D,37,7D,
-1789523006335682,0000031A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006335085,0000034A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006334488,00000342,false,Rx,0,3,1E,03,78,00,00,00,00,00,
