Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
373487293,0000034A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373488307,0000034A,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373489330,000000CA,false,Rx,0,8,78,80,A0,80,9F,85,04,00,
373490352,0000034A,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373506019,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
373511821,000000AC,false,Rx,0,8,B7,18,13,19,73,63,02,23,
373512820,0000032A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373517258,000000BC,false,Rx,0,8,B5,18,20,19,9D,63,02,21,
373518269,0000033A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373521650,000000CC,false,Rx,0,8,DE,18,25,19,DF,63,02,20,
373522659,0000034A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373538844,0000009C,false,Rx,0,8,C1,18,09,19,83,63,02,21,
373539914,0000031A,false,Rx,0,4,0E,00,00,82,00,00,00,00,
373716950,00000380,false,Rx,0,7,02,00,02,00,00,00,00,00,
373830165,000000B2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
373832245,000000A2,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
373833240,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,20,
373864962,000000A4,false,Rx,0,8,B8,18,0E,19,7D,63,02,21,
373870781,000000AA,false,Rx,0,8,78,80,C7,80,9C,85,04,50,
373903695,000000AC,false,Rx,0,8,B8,18,17,19,78,63,02,23,
373919947,000000DA,false,Rx,0,8,78,80,C7,80,9A,85,04,10,
373939863,0000008A,false,Rx,0,8,78,80,C8,80,9D,85,04,20,
373956058,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,10,
373977442,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
373988845,000000CC,false,Rx,0,8,DE,18,25,19,E2,63,02,20,
373999484,00000092,false,Rx,0,8,00,80,C8,80,FC,84,04,10,
374010323,000000BC,false,Rx,0,8,B6,18,22,19,A1,63,02,21,
374028790,000000D2,false,Rx,0,8,78,80,C8,80,9C,85,04,20,
374032463,00000094,false,Rx,0,8,C2,18,28,19,9E,63,02,23,
374061718,000000D4,false,Rx,0,8,B6,18,29,19,AB,63,02,23,
374137524,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
374170391,0000009C,false,Rx,0,8,C1,18,0B,19,84,63,02,21,
374233930,000000A2,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
374266770,000000A4,false,Rx,0,8,B8,18,0E,19,7E,63,02,21,
374321824,000000DA,false,Rx,0,8,78,80,C7,80,9A,85,04,10,
374330143,000000B2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
374332745,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,10,
374341742,0000008A,false,Rx,0,8,78,80,C8,80,9D,85,04,20,
374357866,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,10,
374370807,000000AA,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
374379270,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
374390711,000000CC,false,Rx,0,8,DE,18,21,19,DD,63,02,20,
374401193,00000092,false,Rx,0,8,00,80,C8,80,FC,84,04,10,
374403663,000000AC,false,Rx,0,8,B9,18,10,19,6A,63,02,23,
374412094,000000BC,false,Rx,0,8,B5,18,20,19,9F,63,02,21,
374434107,00000094,false,Rx,0,8,C0,18,28,19,9A,63,02,23,
374528859,000000D2,false,Rx,0,8,78,80,C8,80,9C,85,04,20,
374539489,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
374561733,000000D4,false,Rx,0,8,B8,18,28,19,AC,63,02,23,
374572149,0000009C,false,Rx,0,8,C1,18,0B,19,86,63,02,21,
374620379,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
374720011,00000380,false,Rx,0,7,02,00,02,00,00,00,03,00,
374733942,000000A2,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
374766786,000000A4,false,Rx,0,8,B7,18,0F,19,81,63,02,21,
374830175,000000B2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
374841810,0000008A,false,Rx,0,8,78,80,C8,80,9D,85,04,31,
374870846,000000AA,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
374879250,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
374890375,000000CC,false,Rx,0,8,DF,18,29,19,E6,63,02,20,
374901251,00000092,false,Rx,0,8,00,80,C8,80,24,85,04,10,
