Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12507133,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12508129,00000104,false,Rx,0,8,00,7F,00,18,00,23,0D,04,
12509158,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12527928,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12528987,00000280,false,Rx,0,5,10,64,65,31,03,00,00,00,
12535969,000000AC,false,Rx,0,8,94,18,E5,18,D5,62,02,23,
12576742,00000288,false,Rx,0,5,06,20,FF,FF,FF,00,00,00,
12577749,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12607203,00000102,false,Rx,0,8,00,00,64,73,79,72,6F,13,
12607994,00000104,false,Rx,0,8,00,7F,00,19,00,24,0D,04,
12609012,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12629425,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12630631,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12631884,00000006,false,Rx,0,4,25,00,02,01,00,00,00,00,
12676659,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
12677711,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12683262,0000010A,false,Rx,0,5,00,00,64,C0,00,00,00,00,
12684185,0000010C,false,Rx,0,3,00,00,00,00,00,00,00,00,
12706868,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12707870,00000104,false,Rx,0,8,00,7F,00,19,00,25,0E,04,
12708867,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12729549,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12730888,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12776665,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
12777678,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12793270,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
12806924,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12807924,00000104,false,Rx,0,8,00,7F,00,19,00,26,0D,04,
12808926,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12809943,0000008A,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
12811173,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,10,
12812176,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
12815156,000000DA,false,Rx,0,8,78,80,A0,80,9A,85,04,00,
12816156,00000092,false,Rx,0,8,00,80,C8,80,24,85,04,10,
12817176,000000D2,false,Rx,0,8,78,80,C8,80,9C,85,04,20,
12822785,00000380,false,Rx,0,6,09,74,19,29,1B,02,00,00,
12826095,000000BC,false,Rx,0,8,A0,18,EC,18,0D,63,02,21,
12830825,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12832177,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12842515,0000008C,false,Rx,0,8,CD,18,10,19,9D,63,02,23,
12844012,000000CC,false,Rx,0,8,AE,18,ED,18,51,63,02,20,
12845032,0000009C,false,Rx,0,8,A1,18,D8,18,E2,62,02,23,
12846034,000000C4,false,Rx,0,8,7A,18,EF,18,C6,62,02,23,
12848020,000000DC,false,Rx,0,8,B9,18,1A,19,52,63,02,21,
12849008,00000094,false,Rx,0,8,9B,18,ED,18,FC,62,02,23,
12850031,000000D4,false,Rx,0,8,94,18,ED,18,09,63,02,23,
12876667,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
12877685,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12907004,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12908001,00000104,false,Rx,0,8,00,7F,00,19,00,27,0E,04,
12908999,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12910017,000000A2,false,Rx,0,8,78,80,C8,80,9D,85,04,30,
12931105,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12932474,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12942565,000000A4,false,Rx,0,8,9E,18,DE,18,E6,62,02,21,
12943564,000000C2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
12976700,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
12977723,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
13002656,000000B2,false,Rx,0,8,9F,80,A0,80,9E,85,04,07,
13004294,000000AA,false,Rx,0,8,78,80,C8,80,9C,85,04,20,
13007027,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
13008035,00000104,false,Rx,0,8,00,7F,00,19,00,28,0E,04,
13009028,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
13032458,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
13033807,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
13035476,000000B4,false,Rx,0,8,8D,18,EA,18,AD,62,02,20,
13037181,000000AC,false,Rx,0,8,92,18,E3,18,D6,62,02,23,
13045874,00000180,false,Rx,0,1,01,00,00,00,00,00,00,00,
13076710,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
13077719,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
13106993,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
13108002,00000104,false,Rx,0,8,00,7F,00,19,00,29,0D,04,
13109006,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
13132730,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
13133792,00000280,false,Rx,0,5,06,E1,06,12,1B,00,00,00,
13176720,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
13177709,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
13207082,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
13208061,00000104,false,Rx,0,8,00,7F,00,19,00,2A,0D,04,
13209077,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
